 time            i(v1)           vin            
 3.00000000e-04 -1.25663657e-07  1.88495448e-02 
 6.00000000e-04 -2.51326867e-07  3.76990225e-02 
 1.20000000e-03 -5.02650163e-07  7.53975093e-02 
 2.40000000e-03 -1.00527175e-06  1.50790732e-01 
 4.80000000e-03 -2.01031491e-06  3.01547176e-01 
 5.40000000e-03 -2.26153550e-06  3.39226912e-01 
 6.60000000e-03 -2.76380978e-06  4.14571385e-01 
 9.00000000e-03 -3.76790305e-06  5.65185345e-01 
 9.07500000e-03 -3.79926905e-06  5.69890138e-01 
 9.22500000e-03 -3.86199640e-06  5.79299345e-01 
 9.52500000e-03 -3.98744217e-06  5.98116205e-01 
 9.60000000e-03 -4.01880582e-06  6.02820091e-01 
 9.61875000e-03 -4.02664051e-06  6.03996042e-01 
 9.65625000e-03 -4.04231913e-06  6.06347918e-01 
 9.73125000e-03 -4.07367679e-06  6.11051568e-01 
 9.88125000e-03 -4.13638941e-06  6.20458462e-01 
 1.01812500e-02 -4.26180357e-06  6.39270587e-01 
 1.07812500e-02 -4.51258601e-06  6.76887956e-01 
 1.19812500e-02 -5.01395493e-06  7.52093300e-01 
 1.43812500e-02 -6.01580917e-06  9.02371448e-01 
 1.91812500e-02 -8.01518632e-06  1.20227804e+00 
 2.87812500e-02 -1.19902590e-05  1.79853900e+00 
 2.88187500e-02 -1.20057106e-05  1.80085672e+00 
 2.88937500e-02 -1.20366114e-05  1.80549187e+00 
 2.90437500e-02 -1.20984058e-05  1.81476095e+00 
 2.93437500e-02 -1.22219675e-05  1.83329428e+00 
 2.99437500e-02 -1.24689743e-05  1.87034134e+00 
 3.11437500e-02 -1.29625132e-05  1.94435518e+00 
 3.35437500e-02 -1.39476119e-05  2.09204705e+00 
 3.83437500e-02 -1.59095471e-05  2.38597018e+00 
 4.79437500e-02 -1.97933079e-05  2.96704086e+00 
 6.71437500e-02 -2.73811709e-05  4.09473258e+00 
 1.05543750e-01 -4.15114350e-05  6.15603022e+00 
 1.65543750e-01 -5.93416558e-05  8.62476131e+00 
 2.25543750e-01 -6.95638036e-05  9.88217031e+00 
 2.85543750e-01 -6.98907446e-05  9.75165785e+00 
 3.45543750e-01 -5.97186062e-05  8.25155404e+00 
 4.05543750e-01 -4.05874837e-05  5.59254398e+00 
 4.65543750e-01 -1.55898407e-05  2.14807773e+00 
 5.25543750e-01  1.22745016e-05 -1.59807964e+00 
 5.85543750e-01  6.33483735e-05 -5.11979148e+00 
 5.93043750e-01  8.06871430e-05 -5.51875128e+00 
 6.08043750e-01  1.60778059e-04 -6.27905328e+00 
 6.10369968e-01  1.90106513e-04 -6.39213382e+00 
 6.15022403e-01  3.00342268e-04 -6.61417448e+00 
 6.16185512e-01  3.52643976e-04 -6.66880890e+00 
 6.18511730e-01  5.44272907e-04 -6.77700636e+00 
 6.19093285e-01  6.31486377e-04 -6.80383041e+00 
 6.20256394e-01  9.32677124e-04 -6.85720563e+00 
 6.20547171e-01  1.06033264e-03 -6.87049232e+00 
 6.21128725e-01  1.46242073e-03 -6.89699686e+00 
 6.21274114e-01  1.61646022e-03 -6.90360862e+00 
 6.21564891e-01  2.04915962e-03 -6.91681486e+00 
 6.21637586e-01  2.19654918e-03 -6.92011281e+00 
 6.21782974e-01  2.56614706e-03 -6.92670438e+00 
 6.21819321e-01  2.67899481e-03 -6.92835137e+00 
 6.21892016e-01  2.93751154e-03 -6.93164427e+00 
 6.21910189e-01  3.01018037e-03 -6.93246726e+00 
