 time            l0              l1              l2              l3             
 4.05543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  4.29523801e+04 
 4.65543750e-01  2.00000075e+05  2.00000103e+05  2.00000103e+05  4.29523801e+04 
 5.25543750e-01  1.85028880e+05  1.98186326e+05  1.98186326e+05  4.29523801e+04 
 5.85543750e-01  1.02260814e+05  1.71252928e+05  1.71252928e+05  4.29523801e+04 
 5.93043750e-01  8.38154962e+04  1.64354673e+05  1.64354673e+05  4.31011889e+04 
 6.08043750e-01  4.40737292e+04  1.49444601e+05  1.49444601e+05  4.40228115e+04 
 6.10369968e-01  3.73368465e+04  1.46912122e+05  1.46912122e+05  4.42990050e+04 
 6.15022403e-01  2.36048238e+04  1.41757190e+05  1.41757190e+05  4.49297024e+04 
 6.16185512e-01  2.00754809e+04  1.40435366e+05  1.40435366e+05  4.51175315e+04 
 6.18511730e-01  1.29538723e+04  1.37771240e+05  1.37771240e+05  4.55151570e+04 
 6.19093285e-01  1.11499397e+04  1.37097619e+05  1.37097619e+05  4.56229146e+04 
 6.20256394e-01  7.52655406e+03  1.35745531e+05  1.35745531e+05  4.58442600e+04 
 6.20547171e-01  6.61489585e+03  1.35405704e+05  1.35405704e+05  4.59017979e+04 
 6.21128725e-01  4.78772598e+03  1.34724875e+05  1.34724875e+05  4.60183763e+04 
 6.21274114e-01  4.32948951e+03  1.34554228e+05  1.34554228e+05  4.60480864e+04 
 6.21564891e-01  3.41205655e+03  1.34212646e+05  1.34212646e+05  4.61078880e+04 
 6.21637586e-01  3.18233843e+03  1.34127142e+05  1.34127142e+05  4.61229817e+04 
 6.21782974e-01  2.72266262e+03  1.33956062e+05  1.33956062e+05  4.61532652e+04 
 6.21819321e-01  2.60765383e+03  1.33913265e+05  1.33913265e+05  4.61608722e+04 
 6.21892016e-01  2.37757643e+03  1.33827654e+05  1.33827654e+05  4.61761102e+04 
 6.21910189e-01  2.32003464e+03  1.33806244e+05  1.33806244e+05  4.61799288e+04 
 6.21946536e-01  2.20493610e+03  1.33763421e+05  1.33763421e+05  4.61875719e+04 
 6.21955623e-01  2.17615586e+03  1.33752713e+05  1.33752713e+05  4.61894850e+04 
 6.21973797e-01  2.11859164e+03  1.33731297e+05  1.33731297e+05  4.61933126e+04 
 6.22010144e-01  2.00344077e+03  1.33688458e+05  1.33688458e+05  4.62009769e+04 
 6.22082838e-01  1.99875345e+03  1.33602753e+05  1.33602753e+05  4.62163419e+04 
 6.22184539e-01  1.99858462e+03  1.33482791e+05  1.33482791e+05  4.62379191e+04 
 6.22295804e-01  1.99851641e+03  1.33351467e+05  1.33351467e+05  4.62616349e+04 
 6.22518336e-01  1.99845986e+03  1.33088570e+05  1.33088570e+05  4.63094096e+04 
 6.22963399e-01  1.99841165e+03  1.32561794e+05  1.32561794e+05  4.64063401e+04 
 6.23853525e-01  1.99837164e+03  1.31504362e+05  1.31504362e+05  4.66057954e+04 
 6.25633777e-01  1.99834346e+03  1.29374457e+05  1.29374457e+05  4.70276539e+04 
 6.29194281e-01  1.99838794e+03  1.25059431e+05  1.25059431e+05  4.79701144e+04 
 6.36315289e-01  1.99853520e+03  1.16248106e+05  1.16248106e+05  5.03048789e+04 
 6.50557305e-01  1.99870650e+03  9.82838405e+04  9.82838405e+04  5.73381317e+04 
 6.79041337e-01  1.99877582e+03  6.52535302e+04  6.52535302e+04  8.76472689e+04 
 6.85049234e-01  1.99906590e+03  5.95063911e+04  5.95063911e+04  9.83184494e+04 
 6.97065028e-01  1.99935599e+03  4.92472709e+04  4.92472709e+04  1.22951779e+05 
 7.21096617e-01  1.99935601e+03  3.57554480e+04  3.57554480e+04  1.90217115e+05 
 7.43852064e-01  1.99935602e+03  2.86144916e+04  2.86144916e+04  2.00001215e+05 
 7.68508254e-01  1.99935604e+03  2.33621881e+04  2.33621881e+04  2.00001549e+05 
 8.02729928e-01  1.99935606e+03  1.90963492e+04  1.90963492e+04  2.00001569e+05 
 8.62729928e-01  1.99935610e+03  1.67246498e+04  1.67246498e+04  2.00001552e+05 
 9.22729928e-01  1.99935614e+03  1.67246498e+04  1.67246498e+04  2.00001510e+05 
 9.82729928e-01  1.99935618e+03  1.67246498e+04  1.67246498e+04  2.00001441e+05 
 1.04272993e+00  3.27892937e+04  1.67246498e+04  1.67246498e+04  2.00001203e+05 
 1.10272993e+00  1.44815464e+05  2.49520386e+04  2.49520386e+04  8.07935040e+04 
 1.10648396e+00  1.55331411e+05  2.62198910e+04  2.62198910e+04  7.50656824e+04 
 1.11399203e+00  1.77044669e+05  2.93062744e+04  2.93062744e+04  6.40300338e+04 
 1.11586905e+00  1.82726381e+05  3.02933183e+04  3.02933183e+04  6.14486200e+04 
 1.11962308e+00  1.94253301e+05  3.24304354e+04  3.24304354e+04  5.64483543e+04 
 1.12713115e+00  2.00001230e+05  3.77298738e+04  3.77298738e+04  4.75388183e+04 
 1.13889629e+00  2.00001534e+05  4.88510173e+04  4.88510173e+04  3.67626655e+04 
 1.15301542e+00  2.00001573e+05  6.63536121e+04  6.63536121e+04  2.84898342e+04 
 1.18125368e+00  2.00001521e+05  1.10977744e+05  1.10977744e+05  2.11519322e+04 
 1.21138761e+00  2.00001354e+05  1.67702999e+05  1.67702999e+05  1.97194230e+04 
 1.21544299e+00  2.00000953e+05  1.75861195e+05  1.75861195e+05  1.97194230e+04 
 1.22355377e+00  2.00000551e+05  1.92313965e+05  1.92313965e+05  1.97194230e+04 
 1.23977531e+00  2.00000551e+05  2.00001209e+05  2.00001209e+05  1.97194230e+04 
 1.26099835e+00  2.00000551e+05  2.00001542e+05  2.00001542e+05  1.97194230e+04 
 1.28752826e+00  2.00000551e+05  2.00001533e+05  2.00001533e+05  1.97194230e+04 
 1.34058809e+00  2.00000551e+05  2.00001488e+05  2.00001488e+05  1.97194230e+04 
 1.40058809e+00  2.00000551e+05  2.00001413e+05  2.00001413e+05  1.97194230e+04 
 1.46058809e+00  2.00000551e+05  2.00001293e+05  2.00001293e+05  1.97194230e+04 
 1.52058809e+00  1.89650804e+05  2.00001193e+05  2.00001193e+05  1.97194230e+04 
 1.58058809e+00  1.15552796e+05  1.42060568e+05  1.42060568e+05  1.97194230e+04 
 1.58808809e+00  9.80910876e+04  1.35124923e+05  1.35124923e+05  1.97194230e+04 
 1.60308809e+00  6.02529657e+04  1.19985135e+05  1.19985135e+05  1.97194230e+04 
 1.60683809e+00  4.97156246e+04  1.15736729e+05  1.15736729e+05  1.97194230e+04 
 1.61433809e+00  2.79622863e+04  1.06963606e+05  1.06963606e+05  1.97194230e+04 
 1.61621309e+00  2.22715675e+04  1.04668628e+05  1.04668628e+05  1.97194230e+04 
 1.61996309e+00  1.07273047e+04  1.00016179e+05  1.00016179e+05  1.97330273e+04 
 1.62051289e+00  9.00397269e+03  9.93223201e+04  9.93223201e+04  1.97387599e+04 
 1.62161249e+00  5.54355059e+03  9.79295152e+04  9.79295152e+04  1.97538106e+04 
 1.62188739e+00  4.67329286e+03  9.75794170e+04  9.75794170e+04  1.97589316e+04 
 1.62243720e+00  2.92936058e+03  9.68779807e+04  9.68779807e+04  1.97701105e+04 
 1.62303920e+00  1.99885164e+03  9.61071249e+04  9.61071249e+04  1.97845275e+04 
 1.62368016e+00  1.99855282e+03  9.52831723e+04  9.52831723e+04  1.98024302e+04 
 1.62419593e+00  1.99847555e+03  9.46177923e+04  9.46177923e+04  1.98187875e+04 
 1.62487459e+00  1.99845853e+03  9.37391290e+04  9.37391290e+04  1.98430670e+04 
 1.62623191e+00  1.99845036e+03  9.19713073e+04  9.19713073e+04  1.99012888e+04 
 1.62894654e+00  1.99848574e+03  8.83960417e+04  8.83960417e+04  2.00597798e+04 
 1.63437581e+00  1.99862943e+03  8.11074341e+04  8.11074341e+04  2.05750316e+04 
 1.64523435e+00  1.99880024e+03  6.61978004e+04  6.61978004e+04  2.27495960e+04 
 1.66695144e+00  1.99886708e+03  3.86217542e+04  3.86217542e+04  3.80680918e+04 
 1.67006200e+00  1.99905943e+03  3.52907654e+04  3.52907654e+04  4.22385803e+04 
 1.67628314e+00  1.99925189e+03  2.92129864e+04  2.92129864e+04  5.20301360e+04 
 1.68872542e+00  1.99925234e+03  2.06896135e+04  2.06896135e+04  8.04423671e+04 
 1.71360996e+00  1.99925322e+03  1.39437208e+04  1.39437208e+04  1.62804176e+05 
 1.73494307e+00  1.99925395e+03  1.33553605e+04  1.33553605e+04  2.00001192e+05 
 1.75846496e+00  1.99925473e+03  1.33553605e+04  1.33553605e+04  2.00001483e+05 
 1.78519898e+00  1.99925559e+03  1.33553605e+04  1.33553605e+04  2.00001545e+05 
 1.81921852e+00  1.99925664e+03  1.33553605e+04  1.33553605e+04  2.00001520e+05 
 1.87921852e+00  1.99925840e+03  1.33553605e+04  1.33553605e+04  2.00001450e+05 
 1.93921852e+00  1.99926004e+03  1.33553605e+04  1.33553605e+04  2.00001332e+05 
 1.99921852e+00  1.99926159e+03  1.33553605e+04  1.33553605e+04  2.00001208e+05 
