time,L(0;0)(1;0),L(0;0)(0;1),L(0;1)(1;1),L(0;1)(0;2),L(0;2)(1;2),L(0;2)(0;3),L(0;3)(1;3),L(1;0)(2;0),L(1;0)(1;1),L(1;1)(2;1),L(1;1)(1;2),L(1;2)(2;2),L(1;2)(1;3),L(1;3)(2;3),L(2;0)(3;0),L(2;0)(2;1),L(2;1)(3;1),L(2;1)(2;2),L(2;2)(3;2),L(2;2)(2;3),L(2;3)(3;3),L(3;0)(3;1),L(3;1)(3;2),L(3;2)(3;3)
0.02192,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02392,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02592,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02617,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02667,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.026795,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.027045,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.0271075,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.0272325,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02726375,200000.043,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.043,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02732625,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02745125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02770125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02820125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.02920125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03120125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03145125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03195125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03295125,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.0329825,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.039,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.033045,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03317,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03342,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03392,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03492,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03517,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.03567,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.035795,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.036045,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.036545,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
0.036560625,200000.086,200000.03,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199999.97,200000.0,200000.0
0.036591875,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199999.906,200000.0,200000.0
0.036654375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199999.754,200000.0,200000.0
0.036779375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199999.355,200000.0,200000.0
0.037029375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199998.177,200000.0,200000.0
0.037529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199994.302,200000.0,200000.0
0.038529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199980.487,200000.0,200000.0
0.040529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199928.675,200000.0,200000.0
